track,artist,date,est_time,ist_time,iso_time,genre,length_ms
Lost,Maroon 5,2024-11-19,2024-11-19 16:31:19.290000-05:00,2024-11-20 03:01:19.290000+05:30,2024-11-19T21:31:19.290Z,pop,172.597
Maneater,Nelly Furtado,2024-11-19,2024-11-19 16:35:38.694000-05:00,2024-11-20 03:05:38.694000+05:30,2024-11-19T21:35:38.694Z,"canadian latin, canadian pop, dance pop, pop",258.893
Run Away,TZUYU,2024-11-19,2024-11-19 16:36:17.636000-05:00,2024-11-20 03:06:17.636000+05:30,2024-11-19T21:36:17.636Z,k-pop,198.32
For Love,10CM,2024-11-20,2024-11-19 20:01:56.994000-05:00,2024-11-20 06:31:56.994000+05:30,2024-11-20T01:01:56.994Z,"indie korea, k-pop",213.019
Doubt,Twenty One Pilots,2024-11-20,2024-11-19 20:05:08.975000-05:00,2024-11-20 06:35:08.975000+05:30,2024-11-20T01:05:08.975Z,"modern rock, pop, pov: indie, rock",191.493
One of the Drunks,Panic! At The Disco,2024-11-20,2024-11-19 20:08:28.443000-05:00,2024-11-20 06:38:28.443000+05:30,2024-11-20T01:08:28.443Z,pop,198.946
Igloo,KISS OF LIFE,2024-11-20,2024-11-19 20:15:08.822000-05:00,2024-11-20 06:45:08.822000+05:30,2024-11-20T01:15:08.822Z,"5th gen k-pop, k-pop girl group",131.786
Algorithm,CHUNG HA,2024-11-20,2024-11-19 20:17:36.773000-05:00,2024-11-20 06:47:36.773000+05:30,2024-11-20T01:17:36.773Z,k-pop,147.443
ABCD,NAYEON,2024-11-20,2024-11-19 20:59:26.727000-05:00,2024-11-20 07:29:26.727000+05:30,2024-11-20T01:59:26.727Z,k-pop,162.84
Bags,Clairo,2024-11-20,2024-11-19 22:53:47.098000-05:00,2024-11-20 09:23:47.098000+05:30,2024-11-20T03:53:47.098Z,"bedroom pop, indie pop, pov: indie",260.519
Fucked Up,Bahari,2024-11-20,2024-11-19 22:57:27.518000-05:00,2024-11-20 09:27:27.518000+05:30,2024-11-20T03:57:27.518Z,"alt z, la pop",219.896
drivers license,Olivia Rodrigo,2024-11-20,2024-11-19 23:01:30.020000-05:00,2024-11-20 09:31:30.020000+05:30,2024-11-20T04:01:30.020Z,pop,242.013
start//end,EDEN,2024-11-20,2024-11-19 23:07:04.518000-05:00,2024-11-20 09:37:04.518000+05:30,2024-11-20T04:07:04.518Z,indie poptimism,333.967
Wake Up,EDEN,2024-11-20,2024-11-19 23:11:44.831000-05:00,2024-11-20 09:41:44.831000+05:30,2024-11-20T04:11:44.831Z,indie poptimism,279.827
Gravity,EDEN,2024-11-20,2024-11-19 23:15:35.822000-05:00,2024-11-20 09:45:35.822000+05:30,2024-11-20T04:15:35.822Z,indie poptimism,230.511
End Credits,EDEN,2024-11-20,2024-11-19 23:19:36.816000-05:00,2024-11-20 09:49:36.816000+05:30,2024-11-20T04:19:36.816Z,indie poptimism,240.389
That’s So True,Gracie Abrams,2024-11-20,2024-11-19 23:22:23.520000-05:00,2024-11-20 09:52:23.520000+05:30,2024-11-20T04:22:23.520Z,alt z,166.3
Remember That Night?,Sara Kays,2024-11-20,2024-11-19 23:26:11.205000-05:00,2024-11-20 09:56:11.205000+05:30,2024-11-20T04:26:11.205Z,"alt z, gen z singer-songwriter, modern indie pop",227.186
