track,artist,date,est_time,ist_time,iso_time,genre,length_ms
2016 World Championship Theme,League of Legends,2024-12-31,2024-12-31 16:39:56.384000-05:00,2025-01-01 03:09:56.384000+05:30,2024-12-31T21:39:56.384Z,"speedrun, video game music",195.796
1-800-hot-n-fun,LE SSERAFIM,2025-01-01,2025-01-01 00:56:47.205000-05:00,2025-01-01 11:26:47.205000+05:30,2025-01-01T05:56:47.205Z,k-pop girl group,173.431
ABCD,NAYEON,2025-01-01,2025-01-01 00:59:30.533000-05:00,2025-01-01 11:29:30.533000+05:30,2025-01-01T05:59:30.533Z,k-pop,162.84
Love You With All My Heart,Crush,2025-01-01,2025-01-01 01:03:35.221000-05:00,2025-01-01 11:33:35.221000+05:30,2025-01-01T06:03:35.221Z,"k-pop, korean r&b",244.186
Ma Meilleure Ennemie (from the series Arcane League of Legends),"Stromae, Pomme, Arcane",2025-01-01,2025-01-01 01:06:03.673000-05:00,2025-01-01 11:36:03.673000+05:30,2025-01-01T06:06:03.673Z,,147.973
Dopamine - GISELLE Solo,aespa,2025-01-01,2025-01-01 01:09:18.257000-05:00,2025-01-01 11:39:18.257000+05:30,2025-01-01T06:09:18.257Z,k-pop girl group,194.093
Bloom,BOL4,2025-01-01,2025-01-01 01:12:28.075000-05:00,2025-01-01 11:42:28.075000+05:30,2025-01-01T06:12:28.075Z,k-pop,189.335
Igloo,KISS OF LIFE,2025-01-01,2025-01-01 01:14:40.395000-05:00,2025-01-01 11:44:40.395000+05:30,2025-01-01T06:14:40.395Z,"5th gen k-pop, k-pop girl group",131.786
Lost,Maroon 5,2025-01-01,2025-01-01 01:17:33.495000-05:00,2025-01-01 11:47:33.495000+05:30,2025-01-01T06:17:33.495Z,pop,172.597
Choo Lo,The Local Train,2025-01-01,2025-01-01 01:21:27.613000-05:00,2025-01-01 11:51:27.613000+05:30,2025-01-01T06:21:27.613Z,"hindi indie, indian indie, indian rock, new delhi indie",233.63
Мало тебя,SEREBRO,2025-01-01,2025-01-01 01:25:13.578000-05:00,2025-01-01 11:55:13.578000+05:30,2025-01-01T06:25:13.578Z,russian pop,225.46
Close To You,Gracie Abrams,2025-01-01,2025-01-01 01:26:37.252000-05:00,2025-01-01 11:56:37.252000+05:30,2025-01-01T06:26:37.252Z,alt z,225.973
Close To You,Gracie Abrams,2025-01-02,2025-01-01 20:43:16.019000-05:00,2025-01-02 07:13:16.019000+05:30,2025-01-02T01:43:16.019Z,alt z,225.973
To My Youth,BOL4,2025-01-02,2025-01-01 23:46:29.974000-05:00,2025-01-02 10:16:29.974000+05:30,2025-01-02T04:46:29.974Z,k-pop,222.68
I Need U,BTS,2025-01-02,2025-01-01 23:50:04.761000-05:00,2025-01-02 10:20:04.761000+05:30,2025-01-02T04:50:04.761Z,"k-pop, k-pop boy group, pop",210.986
TAKE IT OR LEAVE IT,"Mary Carewe, George Robertson Mcfarlane",2025-01-02,2025-01-02 02:58:52.586000-05:00,2025-01-02 13:28:52.586000+05:30,2025-01-02T07:58:52.586Z,,174.364
Greatest Day (feat. Calum Scott) - Robin Schulz Rework,"Take That, Robin Schulz, Calum Scott",2025-01-02,2025-01-02 03:04:12.360000-05:00,2025-01-02 13:34:12.360000+05:30,2025-01-02T08:04:12.360Z,"boy band, europop, talent show",164.878
Forgetting You,DAVICHI,2025-01-02,2025-01-02 03:08:04.499000-05:00,2025-01-02 13:38:04.499000+05:30,2025-01-02T08:08:04.499Z,"k-pop, korean pop",192.43
